solver,variant,implementation,nranks,n1,n2,n3,m,nsys,nrow_min,nrow_max,mpi_mode,solution_sum,solution_l2,solution_linf,sample_z0,sample_zmid,sample_zlast
btdma,noncyclic,cuda-cxx,1,32,32,128,2,1024,128,128,device,105042.2504081878,205.1865170417852,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,1,32,32,128,3,1024,128,128,device,157563.3756118122,251.30113442625,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,1,32,32,128,5,1024,128,128,device,262605.6260190311,324.4283695059746,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,1,32,32,128,8,1024,128,128,device,420169.0016391578,410.3730340858779,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,2048,2,4096,1024,1024,device,6711625.000659093,1638.593429418973,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,4,64,64,2048,2,4096,512,512,device,6711625.00122199,1638.593429461729,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,2048,2,4096,256,256,device,6711625.001877045,1638.593429453695,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,2048,3,4096,1024,1024,device,10067437.5026419,2006.858898824084,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,4,64,64,2048,3,4096,512,512,device,10067437.50126586,2006.858899100162,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,2048,3,4096,256,256,device,10067437.50240416,2006.858898973019,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,device,16779062.51048683,2590.843698321155,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,device,16779062.50135086,2590.843697856599,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,device,16779062.50249571,2590.843698097869,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,2048,8,4096,1024,1024,device,26846500.02225135,3277.186859716081,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,4,64,64,2048,8,4096,512,512,device,26846500.01311538,3277.186858980718,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,2048,8,4096,256,256,device,26846500.0026216,3277.186858838374,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,1024,2,4096,512,512,device,3356181.801428792,1158.79728472641,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,4096,2,4096,512,512,device,13422511.40080839,2317.184279906725,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,1024,5,4096,512,512,device,8390454.502729535,1832.219382945934,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,4096,5,4096,512,512,device,33556278.4985935,3663.79004115741,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,1024,8,4096,512,512,device,13424727.20980656,2317.594569492502,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,4096,8,4096,512,512,device,53690045.61973303,4634.368559895237,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,32,32,2048,2,1024,256,256,device,1677906.250393289,819.2967147402726,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,128,128,2048,2,16384,256,256,device,26846500.00263646,3277.186858837935,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,32,32,2048,5,1024,256,256,device,4194765.626120601,1295.421849039666,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,128,128,2048,5,16384,256,256,device,67116250.04194739,5181.687396642303,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,32,32,2048,8,1024,256,256,device,6711625.001877341,1638.593429453577,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,128,128,2048,8,16384,256,256,device,107386000.0890055,6554.373719432157,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,2,64,64,2048,5,4096,1024,1024,host,16779062.51048683,2590.843698321155,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,4,64,64,2048,5,4096,512,512,host,16779062.50135086,2590.843697856599,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
btdma,noncyclic,cuda-cxx,8,64,64,2048,5,4096,256,256,host,16779062.50249571,2590.843698097869,0.4508066615170332,0.4508066615170332,0.4,0.4508066615170332
