run_case_id,implementation,mpi_mode,nranks,n1,n2,n3,m,nsys,nrow_max,stable_iterations,total_s_mean,total_s_std,total_s_iter0,warmup_ratio,local_compute_s_mean,forward_exchange_s_mean,reduced_compute_s_mean,backward_exchange_s_mean,update_compute_s_mean,compute_s_mean,communication_s_mean,throughput_mcells_s,work_throughput_gunits_s,cv_percent,comm_percent,payload_m2_nsys,study_tags
sgref_np1_32x32x128_m2_device,cuda-cxx,device,1,32,32,128,2,1024,128,9,0.00213386455556,2.60293387887e-06,0.00471775,2.21089477667,0.00168425644444,8.48896666667e-05,2.25472222222e-05,2.38858888889e-05,0.000318088555556,0.00202489222222,0.000108775555556,61.4247046087,0.49139763687,0.121982150746,5.09758481495,4096,signature;single_gpu_reference;m_sensitivity
sgref_np1_32x32x128_m3_device,cuda-cxx,device,1,32,32,128,3,1024,128,9,0.003900676,4.41523167569e-06,0.006841687,1.75397469567,0.00327131244444,9.44972222222e-05,3.34788888889e-05,2.44598888889e-05,0.000476716666667,0.003781508,0.000118957111111,33.6023807155,0.90726427932,0.113191448756,3.04965372954,9216,signature;single_gpu_reference;m_sensitivity
sgref_np1_32x32x128_m5_device,cuda-cxx,device,1,32,32,128,5,1024,128,9,0.01158073,3.98428632254e-06,0.014276975,1.23282167877,0.00992078466667,0.000117587444444,7.3112e-05,2.58055555556e-05,0.00144323455556,0.0114371312222,0.000143393,11.3181120707,1.41476400883,0.0344044487916,1.23820346386,25600,signature;single_gpu_reference;m_sensitivity
sgref_np1_32x32x128_m8_device,cuda-cxx,device,1,32,32,128,8,1024,128,9,0.0285499891111,0.000117544447325,0.031017988,1.08644482768,0.024609579,0.000181874888889,0.000150997888889,2.76036666667e-05,0.00357962433333,0.0283402012222,0.000209478555556,4.5909649734,2.35057406638,0.411714508427,0.733725518214,65536,signature;single_gpu_reference;m_sensitivity
strong_np2_64x64x2048_m2_device,cuda-cxx,device,2,64,64,2048,2,4096,1024,9,0.0228530285556,4.61799523362e-05,0.068998686,3.01923597707,0.0181417262222,0.000167251333333,4.13731111111e-05,3.60037777778e-05,0.00447264744444,0.0226535122222,0.000203076,367.067672436,2.93654137949,0.202073664871,0.888617451758,16384,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity
strong_np4_64x64x2048_m2_device,cuda-cxx,device,4,64,64,2048,2,4096,512,9,0.0114590754444,2.1285266789e-05,0.129945337,11.3399495125,0.00892454744444,0.000299969111111,7.16118888889e-05,6.6953e-05,0.00213164777778,0.0111246098889,0.000364396111111,732.049286233,5.85639428987,0.185750298025,3.17997828776,16384,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity
strong_np8_64x64x2048_m2_device,cuda-cxx,device,8,64,64,2048,2,4096,256,9,0.00597479722222,3.55168998006e-05,0.207529386,34.7341304284,0.004324442,0.000467894333333,0.000125971333333,0.000109654555556,0.000960514666667,0.00540778777778,0.000573229222222,1403.9987782,11.2319902256,0.594445275372,9.59412011658,16384,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity
strong_np2_64x64x2048_m3_device,cuda-cxx,device,2,64,64,2048,3,4096,1024,9,0.0418146784444,8.3691798898e-06,0.084144334,2.01231570181,0.0343419086667,0.000279122,6.38915555555e-05,3.53697777778e-05,0.007100726,0.0415053676667,0.000314250333333,200.613954527,5.41657677222,0.0200149330358,0.751531148926,36864,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity
strong_np4_64x64x2048_m3_device,cuda-cxx,device,4,64,64,2048,3,4096,512,9,0.0211376254444,3.75807785148e-05,0.120675186,5.70902281891,0.0171130145556,0.000337674555556,0.000121239888889,6.6343e-05,0.00352691044444,0.020753993,0.000401469444444,396.856686767,10.7151305427,0.177790918916,1.89931194258,36864,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity
strong_np8_64x64x2048_m3_device,cuda-cxx,device,8,64,64,2048,3,4096,256,9,0.0109148901111,2.46258937678e-05,0.208230929,19.0776935801,0.00838157922222,0.000555146666667,0.000229360888889,0.000114365222222,0.00166376788889,0.0102626455556,0.000664779,768.547178634,20.7507738231,0.225617422778,6.09056979257,36864,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity
strong_np2_64x64x2048_m5_device,cuda-cxx,device,2,64,64,2048,5,4096,1024,9,0.102064187111,0.000103620491705,0.153174947,1.50077075354,0.0859909752222,0.000574839222222,0.000143967333333,3.8806e-05,0.0154914423333,0.101613245889,0.000613297888889,82.1895342278,10.2736917785,0.101524829264,0.600894306072,102400,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity;central_case;mpi_mode_device_reference
strong_np4_64x64x2048_m5_device,cuda-cxx,device,4,64,64,2048,5,4096,512,9,0.0516148955556,4.0781460868e-05,0.147538238,2.85844302138,0.0429690163333,0.000655361,0.000291476444444,7.41624444444e-05,0.00777509911111,0.0510333951111,0.000723698222222,162.523006386,20.3153757983,0.0790110304962,1.40211118212,102400,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity;central_case;mpi_mode_device_reference
strong_np8_64x64x2048_m5_device,cuda-cxx,device,8,64,64,2048,5,4096,256,9,0.0266272155556,1.80481994262e-05,0.224297479,8.42361750263,0.0213238935556,0.000894258888889,0.000569863,0.000121569777778,0.00382293455556,0.0257055678889,0.00100962155556,315.03887376,39.3798592201,0.0677810242252,3.79169032319,102400,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity;central_case;mpi_mode_device_reference
strong_np2_64x64x2048_m8_device,cuda-cxx,device,2,64,64,2048,8,4096,1024,9,0.240938464333,0.00164193293793,0.290007849,1.20365940657,0.207919540333,0.00147550844444,0.000317425444445,4.17948888889e-05,0.0319963864444,0.240152668778,0.00151668122222,34.8163919082,17.825992657,0.681473978208,0.629489038381,262144,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;m_sensitivity
strong_np4_64x64x2048_m8_device,cuda-cxx,device,4,64,64,2048,8,4096,512,9,0.120936473,0.00058539255349,0.21504188,1.77813917229,0.103086633778,0.00289173955556,0.000644836555556,7.66727777778e-05,0.0162049274444,0.119920325889,0.00296330466667,69.3637559614,35.5142430522,0.48404963281,2.45029856846,262144,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;weak_nrow_scaling;m_sensitivity
strong_np8_64x64x2048_m8_device,cuda-cxx,device,8,64,64,2048,8,4096,256,9,0.0615858998889,0.000138890004904,0.323749405,5.25687544688,0.0506743726667,0.001852736,0.00127416011111,0.000144180777778,0.00799031444444,0.0599272383333,0.00197669411111,136.209879455,69.739458281,0.225522408789,3.20965369456,262144,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;strong_scaling;nsys_sensitivity;m_sensitivity
weak_nrow_np2_64x64x1024_m2_device,cuda-cxx,device,2,64,64,1024,2,4096,512,9,0.0112927644444,3.20223661958e-05,0.055776403,4.93912746293,0.00892205477778,0.000166616666667,4.0907e-05,3.53642222222e-05,0.00213757688889,0.0110987246667,0.000201869555556,371.415167706,2.97132134165,0.283565342688,1.78760087088,16384,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
weak_nrow_np8_64x64x4096_m2_device,cuda-cxx,device,8,64,64,4096,2,4096,512,9,0.0117808872222,3.71292807121e-05,0.2281764,19.3683544962,0.00892338788889,0.000505397333333,0.000128620888889,0.000111676444444,0.00213395322222,0.0111823696667,0.000611811777778,1424.10462672,11.3928370137,0.31516540318,5.19325723298,16384,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
weak_nrow_np2_64x64x1024_m5_device,cuda-cxx,device,2,64,64,1024,5,4096,512,9,0.051225313,4.29052882463e-05,0.097088969,1.89533188406,0.0428818774444,0.000427362444444,0.000144386666667,3.90853333333e-05,0.00777874111111,0.050795508,0.000465524222222,81.8795192135,10.2349399017,0.083757981618,0.908777701802,102400,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
weak_nrow_np8_64x64x4096_m5_device,cuda-cxx,device,8,64,64,4096,5,4096,512,9,0.0521481366667,5.1599945562e-05,0.296162596,5.67925557711,0.0428628458889,0.000951628,0.000577430777778,0.000121350888889,0.00777525155556,0.0511924422222,0.00106917444444,321.722252652,40.2152815815,0.0989487810309,2.05026394573,102400,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
weak_nrow_np2_64x64x1024_m8_device,cuda-cxx,device,2,64,64,1024,8,4096,512,9,0.119481454111,0.000681486986799,0.225072292,1.88374249104,0.102282683778,0.00114196277778,0.000319413666667,4.41116666666e-05,0.0161764824444,0.118775606556,0.00118305666667,35.1042262685,17.9733638494,0.570370516386,0.990159247281,262144,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
weak_nrow_np8_64x64x4096_m8_device,cuda-cxx,device,8,64,64,4096,8,4096,512,9,0.122395024,0.000208344234018,0.337887973,2.76063488496,0.103155586,0.00358629188889,0.00128302666667,0.000133278666667,0.0162503042222,0.120656529667,0.00371181011111,137.074330734,70.1820573359,0.170222797634,3.03264788862,262144,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;weak_nrow_scaling;nrow_sensitivity
nsys_np8_32x32x2048_m2_device,cuda-cxx,device,8,32,32,2048,2,1024,256,9,0.00481107555556,0.00011615010775,0.212320025,44.1315091705,0.00337200155556,0.000492890777778,0.000123598888889,0.000108863222222,0.000741556111111,0.00421527488889,0.000596872333333,435.90086578,3.48720692624,2.41422331469,12.4062140875,4096,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
nsys_np8_128x128x2048_m2_device,cuda-cxx,device,8,128,128,2048,2,16384,256,9,0.00657919233333,0.000262700272849,0.214320517,32.5755056459,0.00463023277778,0.000601031,0.000130325666667,0.000198835222222,0.00115082688889,0.00590997133333,0.000797360222222,5100.08376408,40.8006701126,3.99289547317,12.1194241151,65536,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
nsys_np8_32x32x2048_m5_device,cuda-cxx,device,8,32,32,2048,5,1024,256,9,0.0256152045556,2.90995566466e-05,0.240856048,9.40285475674,0.0207129248889,0.000928738222222,0.000570249,0.000127878777778,0.00353864822222,0.0246451425556,0.00104481011111,81.8713743024,10.2339217878,0.113602671349,4.07886694344,25600,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
nsys_np8_128x128x2048_m5_device,cuda-cxx,device,8,128,128,2048,5,16384,256,9,0.029902088,5.0464116256e-05,0.298303388,9.97600528766,0.0242211362222,0.00136672677778,0.000629586888889,0.000133521666667,0.00392521722222,0.0287696665556,0.00149462088889,1122.14344363,140.267930454,0.168764523253,4.9983830189,409600,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
nsys_np8_32x32x2048_m8_device,cuda-cxx,device,8,32,32,2048,8,1024,256,9,0.0604349994444,0.000218400335425,0.276950405,4.58261615862,0.0498721155556,0.00166168466667,0.00127244844444,0.000147935333333,0.00790504288889,0.0589635155556,0.001796477,34.7009517544,17.7668872983,0.361380553376,2.97257717633,65536,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
nsys_np8_128x128x2048_m8_device,cuda-cxx,device,8,128,128,2048,8,16384,256,9,0.0847185846667,3.99575006663e-05,0.296322436,3.49772646894,0.0716961856667,0.00228301688889,0.00145944811111,0.000142995666667,0.00952305333333,0.0826204528889,0.00241994011111,396.0693174,202.787490509,0.0471649766383,2.85644539582,1048576,signature;total_performance;phase_breakdown;fortran_vs_cuda_cxx;nsys_sensitivity
mpi_host_np2_64x64x2048_m5_host,cuda-cxx,host,2,64,64,2048,5,4096,1024,9,0.103047480556,0.00011381442593,0.127873237,1.24091570517,0.0861584465556,0.00142017566667,0.000143582111111,0.000109814888889,0.015491399,0.101792715333,0.00152999055556,81.4052702189,10.1756587774,0.1104485285,1.48474329242,102400,signature;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback
mpi_host_np4_64x64x2048_m5_host,cuda-cxx,host,4,64,64,2048,5,4096,512,9,0.0523910412222,2.84450980477e-05,0.130572688,2.49227129207,0.0428725812222,0.00144361522222,0.000291276,0.000138887333333,0.00777325744444,0.0509333977778,0.00157905855556,160.115313693,20.0144142116,0.0542938208215,3.01398582414,102400,signature;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback
mpi_host_np8_64x64x2048_m5_host,cuda-cxx,host,8,64,64,2048,5,4096,256,9,0.027997955,0.000146016392166,0.193287994,6.90364685564,0.021339604,0.002138822,0.000569669222222,0.000224941888889,0.003825619,0.0257215675556,0.002351698,299.615025455,37.4518781818,0.521525204845,8.3995348946,102400,signature;total_performance;phase_breakdown;mpi_mode_comparison;host_fallback
